Disease Name,Overview Link,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,Symptom 15,Symptom 16,Symptom 17,Symptom 18,Symptom 19,symptom 20,symptom 21
Abdominal Aortic Aneurysm,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/symptoms-causes/syc-20350688,Deep constant pain in the abdomen or on the side of the abdomen,Back pain,A pulse near the bellybutton,,,,,,,,,,,,,,,,,,
Achalasia,https://www.mayoclinic.org/diseases-conditions/achalasia/symptoms-causes/syc-20352850,Difficulty swallowing,Chest pain,Regurgitation of food or saliva,,,,,,,,,,,,,,,,,,
Acne,https://www.mayoclinic.org/diseases-conditions/acne/symptoms-causes/syc-20368047,Whiteheads,Blackheads,Small red tender bumps,Pimples,Large solid painful lumps beneath the surface of the skin,,,,,,,,,,,,,,,,
Acromegaly,https://www.mayoclinic.org/diseases-conditions/acromegaly/symptoms-causes/syc-20351222,Enlarged hands and feet,Coarse oily thickened skin,Excessive sweating and body odor,Small outgrowths of skin tissue,Fatigue and muscle weakness,A deepened husky voice,Severe snoring,Impaired vision,Headaches,Enlarged tongue,,,,,,,,,,,
Acute Kidney Failure,https://www.mayoclinic.org/diseases-conditions/kidney-failure/symptoms-causes/syc-20369048,Decreased urine output,Fluid retention,Shortness of breath,Fatigue,Confusion,Nausea,Weakness,Irregular heartbeat,Chest pain or pressure,Seizures or coma in severe cases,,,,,,,,,,,
Addison's Disease,https://www.mayoclinic.org/diseases-conditions/addisons-disease/symptoms-causes/syc-20350293,Extreme fatigue,Weight loss and decreased appetite,Darkening of your skin (hyperpigmentation),Low blood pressure even fainting,Salt craving,Low blood sugar (hypoglycemia),Nausea diarrhea or vomiting,Abdominal pain,Muscle or joint pains,Irritability,Depression or other behavioral symptoms,Body hair loss or sexual dysfunction in women,,,,,,,,,
AIDS/HIV,https://www.mayoclinic.org/diseases-conditions/hiv-aids/symptoms-causes/syc-20373524,Fever,Fatigue,Swollen lymph glands,Diarrhea,Weight loss,Oral yeast infection (thrush),Shingles (herpes zoster),Pneumonia,Sweats,Chills,Constant white spots or lesions on the tongue or in the mouth,Constant fatigue,Weakness,Rapid weight loss,Skin rashes or bumps,,,,,,
Alcohol Use Disorder,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/symptoms-causes/syc-20369243,Being unable to limit the amount of alcohol you drink,Wanting to cut down on how much you drink or making unsuccessful attempts to do so,Spending a lot of time drinking getting alcohol or recovering from alcohol use,Feeling a strong craving or urge to drink alcohol,Failing to fulfill major obligations at work school or home due to repeated alcohol use,Continuing to drink alcohol even though you know it's causing physical social work or relationship problems,Giving up or reducing social and work activities and hobbies to use alcohol,Using alcohol in situations where it's not safe such as when driving or swimming,Developing a tolerance to alcohol so you need more to feel its effect or you have a reduced effect from the same amount,Experiencing withdrawal symptoms â€” such as nausea sweating and shaking â€” when you don't drink or drinking to avoid these symptoms,,,,,,,,,,,
Allergies,https://mayoclinic.org/diseases-conditions/allergies/symptoms-causes/syc-20351497,Sneezing,Itching of the nose eyes or roof of the mouth,Runny stuffy nose,Watery red or swollen eyes (conjunctivitis),Hives,Swelling of the lips tongue face or throat,Anaphylaxis (in severe cases),Abdominal pain,Diarrhea,Nausea and vomiting,Dizziness or lightheadedness,Rapid pulse,Shock with a severe drop in blood pressure,,,,,,,,
Alzheimer's Disease,https://www.mayoclinic.org/diseases-conditions/alzheimers-disease/symptoms-causes/syc-20350447,Memory loss,Difficulty planning and solving problems,Confusion with time or place,Difficulty understanding visual images and spatial relationships,Problems with speaking or writing,Misplacing things and losing the ability to retrace steps,Decreased or poor judgment,Withdrawal from work or social activities,Changes in mood and personality,,,,,,,,,,,,
